latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,temp,wind_speed,description,humidity,500m 16 days NDVI,500m 16 days EVI,500m 16 days VI Quality,500m 16 days red reflectance,500m 16 days NIR reflectance,500m 16 days blue reflectance,500m 16 days MIR reflectance,500m 16 days view zenith angle,500m 16 days sun zenith angle,500m 16 days relative azimuth angle,500m 16 days composite day of the year,500m 16 days pixel reliability
42.7769,1.6692,322.9,1.4,1.2,2023-02-13,1247,Aqua,MODIS,82,61.03,288.0,35.3,D,0,10.4,1.0512781,Overcast clouds,100,3,3,4378,7488,7493,8450,3600,5849,7310,11714,1,3
42.7742,1.6551,300.3,1.4,1.2,2023-02-13,1247,Aqua,MODIS,30,61.03,288.6,8.9,D,0,10.3,1.1932734,Broken clouds,99,3,3,4378,7488,7493,8450,3600,5849,7310,11714,1,3
44.7959,4.4206,304.7,1.0,1.0,2023-02-13,1248,Aqua,MODIS,60,61.03,287.1,8.4,D,0,15.1,1.6923423,Clear sky,94,541,482,51229,4137,4611,4301,407,790,7513,-5931,355,2
44.0109,6.0235,302.1,1.0,1.0,2023-02-13,1248,Aqua,MODIS,51,61.03,288.8,5.4,D,0,17.6,1.54,Clear sky,91,649,580,4378,4090,4658,4749,1869,5675,7350,11561,354,3
44.0091,6.0113,302.5,1.0,1.0,2023-02-13,1248,Aqua,MODIS,52,61.03,289.6,5.6,D,0,17.6,1.54,Clear sky,91,649,580,4378,4090,4658,4749,1869,5675,7350,11561,354,3
43.102,-0.0247,307.8,1.6,1.3,2023-02-13,1248,Aqua,MODIS,66,61.03,290.5,16.9,D,0,15.0,2.6,Broken clouds,87,146,152,4378,6867,7071,7825,3918,5849,7308,11725,1,3
43.726,3.2395,310.8,1.1,1.1,2023-02-13,1248,Aqua,MODIS,70,61.03,287.0,14.4,D,0,14.8,5.662158,Clear sky,86,440,400,20501,4418,4825,4655,341,817,7515,-5873,355,2
43.3285,-1.1935,300.3,1.9,1.3,2023-02-13,1248,Aqua,MODIS,32,61.03,288.9,8.8,D,0,15.1,1.256083,Drizzle,69,103,104,35106,6303,6435,7396,3554,5849,7308,11789,1,3
51.0283,2.2901,300.9,1.0,1.0,2023-02-13,1250,Aqua,MODIS,24,61.03,287.5,4.9,D,2,15.1,2.3243377,Broken clouds,89,155,151,4114,5568,5744,5806,3291,231,7469,-5539,2,3
51.0261,2.2761,305.1,1.0,1.0,2023-02-13,1250,Aqua,MODIS,60,61.03,288.2,7.6,D,2,14.9,2.4281082,Broken clouds,90,155,151,4114,5568,5744,5806,3291,231,7469,-5539,2,3
51.0448,2.3028,305.1,1.1,1.0,2023-02-13,2132,Terra,MODIS,63,61.03,278.9,11.6,N,2,16.8,3.6651642,Broken clouds,83,155,151,4114,5568,5744,5806,3291,231,7469,-5539,2,3
44.5014,0.4769,305.3,1.6,1.2,2023-02-14,1105,Terra,MODIS,61,61.03,285.2,15.5,D,0,16.5,2.849612,Clear sky,88,106,109,35106,6646,6789,7671,3846,5849,7308,11789,1,3
43.0355,0.0189,300.8,1.6,1.2,2023-02-14,1105,Terra,MODIS,42,61.03,283.4,11.5,D,0,15.1,2.06,Overcast clouds,88,146,152,4378,6867,7071,7825,3918,5849,7308,11725,1,3
42.9178,1.1439,302.7,1.4,1.2,2023-02-14,1330,Aqua,MODIS,52,61.03,292.1,9.9,D,0,12.8,1.122737,Overcast clouds,92,45,47,2330,6889,6952,7896,3630,5849,7309,11779,1,3
44.8113,4.4451,318.5,1.3,1.1,2023-02-15,1007,Terra,MODIS,79,61.03,285.4,26.1,D,0,15.1,1.6923423,Clear sky,94,541,482,51229,4137,4611,4301,407,790,7513,-5931,355,2
44.8097,4.4601,303.2,1.3,1.1,2023-02-15,1007,Terra,MODIS,55,61.03,284.0,10.1,D,0,15.1,1.6923423,Clear sky,94,541,482,51229,4137,4611,4301,407,790,7513,-5931,355,2
42.5136,9.4556,321.9,1.0,1.0,2023-02-15,1008,Terra,MODIS,74,61.03,287.7,21.7,D,0,23.0,4.1,Few clouds,73,-193,-122,18453,2290,2203,3124,111,782,7515,-5731,355,2
43.1888,-1.3056,303.5,2.9,1.6,2023-02-15,1234,Aqua,MODIS,56,61.03,288.9,27.5,D,0,14.9,2.57,Drizzle,87,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
42.5125,9.4472,303.4,1.0,1.0,2023-02-15,1234,Aqua,MODIS,55,61.03,289.9,5.7,D,0,23.0,4.1,Few clouds,73,-193,-122,18453,2290,2203,3124,111,782,7515,-5731,355,2
43.2512,5.76,307.7,1.2,1.1,2023-02-15,1234,Aqua,MODIS,66,61.03,281.9,13.3,D,0,18.3,0.9142916,Scattered clouds,94,319,282,18453,4194,4471,4314,528,799,7515,-5869,355,2
42.983,-0.5967,313.6,2.7,1.6,2023-02-15,1234,Aqua,MODIS,74,61.03,286.3,63.2,D,0,12.1,0.28567058,Clear sky,99,146,152,4378,6867,7071,7825,3918,5849,7308,11725,1,3
43.1873,-0.8495,302.9,2.8,1.6,2023-02-15,1234,Aqua,MODIS,54,61.03,288.9,23.2,D,0,15.1,0.117887445,Overcast clouds,91,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.1532,-1.1303,303.3,2.9,1.6,2023-02-15,1234,Aqua,MODIS,55,61.03,287.7,25.6,D,0,13.6,0.633403,Light rain,90,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.1845,-1.079,300.6,2.8,1.6,2023-02-15,1234,Aqua,MODIS,27,61.03,289.0,17.3,D,0,14.0,1.2795824,Light rain,78,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.1061,-1.1208,315.4,4.3,1.9,2023-02-15,1412,Aqua,MODIS,76,61.03,291.4,112.7,D,0,13.6,0.633403,Drizzle,90,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.0225,-0.8962,305.0,4.5,1.9,2023-02-15,1412,Aqua,MODIS,60,61.03,289.0,60.1,D,0,11.7,0.50831753,Drizzle,98,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.021,-0.9498,315.0,4.4,1.9,2023-02-15,1412,Aqua,MODIS,71,61.03,290.9,124.0,D,0,11.5,0.14888477,Drizzle,97,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.0247,-0.9051,305.7,4.5,1.9,2023-02-15,1412,Aqua,MODIS,62,61.03,289.2,65.9,D,0,11.7,0.50831753,Drizzle,98,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.0234,-0.9594,314.0,4.4,1.9,2023-02-15,1412,Aqua,MODIS,70,61.03,291.4,116.7,D,0,11.5,0.14888477,Drizzle,97,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.1046,-1.1719,306.4,4.3,1.9,2023-02-15,1412,Aqua,MODIS,63,61.03,292.0,56.8,D,0,14.0,0.4547808,Light rain,87,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.1067,-1.1249,316.8,4.3,1.9,2023-02-15,1412,Aqua,MODIS,77,61.03,291.6,123.2,D,0,13.6,0.633403,Drizzle,90,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.1054,-1.1759,303.9,4.3,1.9,2023-02-15,1412,Aqua,MODIS,57,61.03,292.1,45.0,D,0,14.0,0.4547808,Light rain,87,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.1484,-0.8521,302.3,4.5,2.0,2023-02-15,1412,Aqua,MODIS,52,61.03,288.6,41.1,D,0,14.8,0.64120203,Overcast clouds,93,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.1601,-1.0744,302.6,4.4,1.9,2023-02-15,1412,Aqua,MODIS,42,61.03,287.2,38.7,D,0,14.0,1.2795824,Light rain,78,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.1586,-1.1279,306.5,4.3,1.9,2023-02-15,1412,Aqua,MODIS,64,61.03,288.0,57.0,D,0,15.0,0.99083674,Light rain,82,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.1503,-0.8606,302.8,4.5,2.0,2023-02-15,1412,Aqua,MODIS,54,61.03,288.8,42.1,D,0,14.8,0.64120203,Overcast clouds,93,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.1631,-1.0818,302.0,4.4,1.9,2023-02-15,1412,Aqua,MODIS,47,61.03,287.2,35.0,D,0,14.0,1.2795824,Light rain,78,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
